instance_id,repo,base_commit,patch_path,tests_command,tests_exit_code,resolved,runtime_seconds,error_type,logs_path,patch_generated,eval_run_name,created_at
astropy__astropy-12907,astropy/astropy,d16bfe05a744909de4b27f5875fe0d4ed41ce607,runs/part2_repro_limit5/astropy__astropy-12907/patch.diff,python3 -m pytest -q 'astropy/modeling/tests/test_separable.py::test_separable[compound_model6-result6]' 'astropy/modeling/tests/test_separable.py::test_separable[compound_model9-result9]',,0,11.277,patch_apply_failed,runs/part2_repro_limit5/astropy__astropy-12907,1,part2_repro_limit5,2026-02-21T21:28:26.958359
astropy__astropy-14182,astropy/astropy,a5917978be39d13cd90b517e1de4e7a539ffaa48,runs/part2_repro_limit5/astropy__astropy-14182/patch.diff,python3 -m pytest -q astropy/io/ascii/tests/test_rst.py::test_rst_with_header_rows,,0,13.233,patch_apply_failed,runs/part2_repro_limit5/astropy__astropy-14182,1,part2_repro_limit5,2026-02-21T21:28:26.971838
astropy__astropy-14365,astropy/astropy,7269fa3e33e8d02485a647da91a5a2a60a06af61,runs/part2_repro_limit5/astropy__astropy-14365/patch.diff,python3 -m pytest -q 'astropy/io/ascii/tests/test_qdp.py::test_roundtrip[True]',,0,9.776,patch_apply_failed,runs/part2_repro_limit5/astropy__astropy-14365,1,part2_repro_limit5,2026-02-21T21:28:26.973331
astropy__astropy-14995,astropy/astropy,b16c7d12ccbc7b2d20364b89fb44285bcbfede54,runs/part2_repro_limit5/astropy__astropy-14995/patch.diff,python3 -m pytest -q astropy/nddata/mixins/tests/test_ndarithmetic.py::test_nddata_bitmask_arithmetic,,0,9.685,patch_apply_failed,runs/part2_repro_limit5/astropy__astropy-14995,1,part2_repro_limit5,2026-02-21T21:28:26.977612
astropy__astropy-6938,astropy/astropy,c76af9ed6bb89bfba45b9f5bc1e635188278e2fa,runs/part2_repro_limit5/astropy__astropy-6938/patch.diff,python3 -m pytest -q astropy/io/fits/tests/test_checksum.py::TestChecksumFunctions::test_ascii_table_data astropy/io/fits/tests/test_table.py::TestTableFunctions::test_ascii_table,,0,10.103,patch_apply_failed,runs/part2_repro_limit5/astropy__astropy-6938,1,part2_repro_limit5,2026-02-21T21:28:26.977977
astropy__astropy-12907,astropy/astropy,d16bfe05a744909de4b27f5875fe0d4ed41ce607,,python3 -m pytest -q 'astropy/modeling/tests/test_separable.py::test_separable[compound_model6-result6]' 'astropy/modeling/tests/test_separable.py::test_separable[compound_model9-result9]',,0,0.0,no_patch,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_eval_sanity/astropy__astropy-12907,0,part2_eval_sanity,2026-02-21T21:56:24.269307
astropy__astropy-12907,astropy/astropy,d16bfe05a744909de4b27f5875fe0d4ed41ce607,,python3 -m pytest -q 'astropy/modeling/tests/test_separable.py::test_separable[compound_model6-result6]' 'astropy/modeling/tests/test_separable.py::test_separable[compound_model9-result9]',,0,0.0,no_patch,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_eval_sanity_all/astropy__astropy-12907,0,part2_eval_sanity_all,2026-02-21T21:56:31.885966
astropy__astropy-12907,astropy/astropy,d16bfe05a744909de4b27f5875fe0d4ed41ce607,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_eval_sanity_all/astropy__astropy-12907/patch.diff,python3 -m pytest -q 'astropy/modeling/tests/test_separable.py::test_separable[compound_model6-result6]' 'astropy/modeling/tests/test_separable.py::test_separable[compound_model9-result9]',,0,0.081,clone_or_checkout_failed,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_eval_sanity_all/astropy__astropy-12907,1,part2_eval_sanity_all,2026-02-21T21:56:31.887108
astropy__astropy-12907,astropy/astropy,d16bfe05a744909de4b27f5875fe0d4ed41ce607,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_eval_selector_check/astropy__astropy-12907/patch.diff,python3 -m pytest -q 'astropy/modeling/tests/test_separable.py::test_separable[compound_model6-result6]' 'astropy/modeling/tests/test_separable.py::test_separable[compound_model9-result9]',,0,0.139,clone_or_checkout_failed,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_eval_selector_check/astropy__astropy-12907,1,part2_eval_selector_check,2026-02-21T21:57:07.756719
django__django-13220,django/django,16218c20606d8cd89c5393970c83da04598a3e04,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-13220/patch.diff,python3 -m pytest -q 'test_eq (test_exceptions.test_validation_error.TestValidationError)' 'test_eq_nested (test_exceptions.test_validation_error.TestValidationError)' 'test_hash (test_exceptions.test_validation_error.TestValidationError)' 'test_hash_nested (test_exceptions.test_validation_error.TestValidationError)',4,0,27.479,none,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-13220,1,part2_repro_20260222_055402,2026-02-22T06:09:21.412124
django__django-13158,django/django,7af8f4127397279d19ef7c7899e93018274e2f9b,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-13158/patch.diff,python3 -m pytest -q 'test_union_none (queries.test_qs_combinators.QuerySetSetOperationTests)',4,0,16.634,none,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-13158,1,part2_repro_20260222_055402,2026-02-22T06:09:21.418863
django__django-13033,django/django,a59de6e89e8dc1f3e71c9a5a5bbceb373ea5247e,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-13033/patch.diff,python3 -m pytest -q 'test_order_by_self_referential_fk (ordering.tests.OrderingTests)',4,0,18.755,none,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-13033,1,part2_repro_20260222_055402,2026-02-22T06:09:21.419267
django__django-13028,django/django,78ad4b4b0201003792bfdbf1a7781cbc9ee03539,,python3 -m pytest -q 'test_field_with_filterable (queries.tests.Queries1Tests)' 'test_ticket8439 (queries.tests.Queries1Tests)',,0,0.0,no_patch,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-13028,0,part2_repro_20260222_055402,2026-02-22T06:09:21.419658
django__django-12983,django/django,3bc4240d979812bd11365ede04c028ea13fdc8c6,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-12983/patch.diff,python3 -m pytest -q 'test_slugify (utils_tests.test_text.TestUtilsText)',4,0,21.549,none,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-12983,1,part2_repro_20260222_055402,2026-02-22T06:09:21.420122
django__django-12915,django/django,4652f1f0aa459a7b980441d629648707c32e36bf,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-12915/patch.diff,python3 -m pytest -q 'test_get_async_response (staticfiles_tests.test_handlers.TestASGIStaticFilesHandler)' 'test_get_async_response_not_found (staticfiles_tests.test_handlers.TestASGIStaticFilesHandler)' 'test_static_file_response (asgi.tests.ASGITest)',4,0,18.471,none,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-12915,1,part2_repro_20260222_055402,2026-02-22T06:09:21.420514
django__django-12908,django/django,49ae7ce50a874f8a04cd910882fb9571ff3a0d7a,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-12908/patch.diff,python3 -m pytest -q 'test_unsupported_operations_on_combined_qs (queries.test_qs_combinators.QuerySetSetOperationTests)' 'test_unsupported_ordering_slicing_raises_db_error (queries.test_qs_combinators.QuerySetSetOperationTests)',4,0,20.844,none,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-12908,1,part2_repro_20260222_055402,2026-02-22T06:09:21.420920
django__django-12856,django/django,8328811f048fed0dd22573224def8c65410c9f2e,,python3 -m pytest -q 'test_unique_constraint_pointing_to_m2m_field (invalid_models_tests.test_models.ConstraintsTests)' 'test_unique_constraint_pointing_to_missing_field (invalid_models_tests.test_models.ConstraintsTests)' 'test_unique_constraint_pointing_to_non_local_field (invalid_models_tests.test_models.ConstraintsTests)',,0,0.0,no_patch,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-12856,0,part2_repro_20260222_055402,2026-02-22T06:09:21.424385
django__django-12747,django/django,c86201b6ed4f8256b0a0520c08aa674f623d4127,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-12747/patch.diff,python3 -m pytest -q 'test_fast_delete_empty_no_update_can_self_select (delete.tests.FastDeleteTests)' 'test_model_delete_returns_num_rows (delete.tests.DeletionTests)' 'test_queryset_delete_returns_num_rows (delete.tests.DeletionTests)',4,0,23.088,none,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-12747,1,part2_repro_20260222_055402,2026-02-22T06:09:21.424726
django__django-12708,django/django,447980e72ac01da1594dd3373a03ba40b7ee6f80,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-12708/patch.diff,python3 -m pytest -q 'test_alter_index_together_remove_with_unique_together (migrations.test_operations.OperationTests)',4,0,26.163,none,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-12708,1,part2_repro_20260222_055402,2026-02-22T06:09:21.425043
django__django-12700,django/django,d51c50d836c5cf8db5566da17963f871be554615,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-12700/patch.diff,python3 -m pytest -q 'test_cleanse_setting_recurses_in_list_tuples (view_tests.tests.test_debug.ExceptionReporterFilterTests)',4,0,23.501,none,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-12700,1,part2_repro_20260222_055402,2026-02-22T06:09:21.425365
django__django-12589,django/django,895f28f9cbed817c00ab68770433170d83132d90,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-12589/patch.diff,python3 -m pytest -q 'test_aggregation_subquery_annotation_values_collision (aggregation.tests.AggregateTestCase)',4,0,22.614,none,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-12589,1,part2_repro_20260222_055402,2026-02-22T06:09:21.425691
django__django-12497,django/django,a4881f5e5d7ee38b7e83301331a0b4962845ef8a,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-12497/patch.diff,python3 -m pytest -q 'test_ambiguous_relationship_model_from (invalid_models_tests.test_relative_fields.RelativeFieldTests)' 'test_ambiguous_relationship_model_to (invalid_models_tests.test_relative_fields.RelativeFieldTests)',4,0,24.132,none,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-12497,1,part2_repro_20260222_055402,2026-02-22T06:09:21.426076
django__django-12470,django/django,142ab6846ac09d6d401e26fc8b6b988a583ac0f5,,python3 -m pytest -q 'test_inherited_ordering_pk_desc (model_inheritance.tests.ModelInheritanceTests)',,0,0.0,no_patch,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-12470,0,part2_repro_20260222_055402,2026-02-22T06:09:21.426403
django__django-12453,django/django,b330b918e979ea39a21d47b61172d112caf432c3,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-12453/patch.diff,python3 -m pytest -q 'test_circular_reference (backends.base.test_creation.TestDeserializeDbFromString)',4,0,18.865,none,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-12453,1,part2_repro_20260222_055402,2026-02-22T06:09:21.426744
django__django-12308,django/django,2e0f04507b17362239ba49830d26fec504d46978,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-12308/patch.diff,python3 -m pytest -q 'test_json_display_for_field (admin_utils.tests.UtilsTests)' 'test_label_for_field (admin_utils.tests.UtilsTests)',4,0,20.402,none,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-12308,1,part2_repro_20260222_055402,2026-02-22T06:09:21.427097
django__django-12286,django/django,979f61abd322507aafced9627702362e541ec34e,,python3 -m pytest -q 'test_valid_variant_consistent_language_settings (check_framework.test_translation.TranslationCheckTests)',,0,0.0,no_patch,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-12286,0,part2_repro_20260222_055402,2026-02-22T06:09:21.427557
django__django-12284,django/django,c5e373d48cbdd923575956fed477b63d66d9603f,,python3 -m pytest -q 'test_overriding_inherited_FIELD_display (model_fields.tests.GetFieldDisplayTests)',,0,0.0,no_patch,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-12284,0,part2_repro_20260222_055402,2026-02-22T06:09:21.428021
django__django-12184,django/django,5d674eac871a306405b0fbbaeb17bbeba9c68bf3,,python3 -m pytest -q 'test_re_path_with_missing_optional_parameter (urlpatterns.tests.SimplifiedURLTests)',,0,0.0,no_patch,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-12184,0,part2_repro_20260222_055402,2026-02-22T06:09:21.428381
django__django-12125,django/django,89d41cba392b759732ba9f1db4ff29ed47da6a56,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-12125/patch.diff,python3 -m pytest -q 'test_serialize_nested_class (migrations.test_writer.WriterTests)' 'test_serialize_numbers (migrations.test_writer.WriterTests)',4,0,18.749,none,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-12125,1,part2_repro_20260222_055402,2026-02-22T06:09:21.428760
django__django-12113,django/django,62254c5202e80a68f4fe6572a2be46a3d953de1a,,python3 -m pytest -q 'test_custom_test_name (backends.sqlite.test_creation.TestDbSignatureTests)',,0,0.0,no_patch,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-12113,0,part2_repro_20260222_055402,2026-02-22T06:09:21.429121
django__django-11999,django/django,84633905273fc916e3d17883810d9969c03f73c2,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-11999/patch.diff,python3 -m pytest -q 'test_overriding_FIELD_display (model_fields.tests.GetFieldDisplayTests)',4,0,26.665,none,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-11999,1,part2_repro_20260222_055402,2026-02-22T06:09:21.429477
django__django-11964,django/django,fc2b1cc926e34041953738e58fa6ad3053059b22,,python3 -m pytest -q 'test_str (model_enums.tests.ChoicesTests)' 'test_textchoices (model_enums.tests.ChoicesTests)',,0,0.0,no_patch,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-11964,0,part2_repro_20260222_055402,2026-02-22T06:09:21.429804
django__django-11910,django/django,d232fd76a85870daf345fd8f8d617fe7802ae194,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-11910/patch.diff,python3 -m pytest -q 'test_rename_referenced_primary_key (migrations.test_autodetector.AutodetectorTests)',4,0,19.068,none,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-11910,1,part2_repro_20260222_055402,2026-02-22T06:09:21.430128
django__django-11905,django/django,2f72480fbd27896c986c45193e1603e35c0b19a7,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-11905/patch.diff,python3 -m pytest -q 'test_isnull_non_boolean_value (lookup.tests.LookupTests)' 'test_iterator (lookup.tests.LookupTests)',4,0,45.381,none,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-11905,1,part2_repro_20260222_055402,2026-02-22T06:09:21.430476
django__django-11848,django/django,f0adf3b9b7a19cdee05368ff0c0c2d087f011180,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-11848/patch.diff,python3 -m pytest -q 'test_parsing_rfc850 (utils_tests.test_http.HttpDateProcessingTests)' 'test_parsing_year_less_than_70 (utils_tests.test_http.HttpDateProcessingTests)',4,0,20.471,none,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-11848,1,part2_repro_20260222_055402,2026-02-22T06:09:21.430855
django__django-11815,django/django,e02f67ef2d03d48128e7a118bf75f0418e24e8ac,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-11815/patch.diff,python3 -m pytest -q 'test_serialize_class_based_validators (migrations.test_writer.WriterTests)' 'test_serialize_enums (migrations.test_writer.WriterTests)',4,0,25.479,none,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-11815,1,part2_repro_20260222_055402,2026-02-22T06:09:21.431282
django__django-11797,django/django,3346b78a8a872286a245d1e77ef4718fc5e6be1a,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-11797/patch.diff,python3 -m pytest -q 'test_exact_query_rhs_with_selected_columns (lookup.tests.LookupTests)',4,0,21.689,none,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-11797,1,part2_repro_20260222_055402,2026-02-22T06:09:21.431646
django__django-11742,django/django,fee75d2aed4e58ada6567c464cfd22e89dc65f4a,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-11742/patch.diff,python3 -m pytest -q 'test_choices_in_max_length (invalid_models_tests.test_ordinary_fields.CharFieldTests)' 'test_choices_named_group (invalid_models_tests.test_ordinary_fields.CharFieldTests)',4,0,18.437,none,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-11742,1,part2_repro_20260222_055402,2026-02-22T06:09:21.431970
django__django-11630,django/django,65e86948b80262574058a94ccaae3a9b59c3faea,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-11630/patch.diff,python3 -m pytest -q 'test_collision_across_apps_database_routers_installed (check_framework.test_model_checks.DuplicateDBTableTests)' 'test_collision_in_same_app_database_routers_installed (check_framework.test_model_checks.DuplicateDBTableTests)',4,0,24.947,none,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-11630,1,part2_repro_20260222_055402,2026-02-22T06:09:21.432407
django__django-11620,django/django,514efa3129792ec2abb2444f3e7aeb3f21a38386,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-11620/patch.diff,python3 -m pytest -q 'test_technical_404_converter_raise_404 (view_tests.tests.test_debug.DebugViewTests)',4,0,22.885,none,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-11620,1,part2_repro_20260222_055402,2026-02-22T06:09:21.432718
django__django-11583,django/django,60dc957a825232fdda9138e2f8878b2ca407a7c9,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-11583/patch.diff,python3 -m pytest -q 'test_path_with_embedded_null_bytes (utils_tests.test_autoreload.TestIterModulesAndFiles)' 'test_paths_are_pathlib_instances (utils_tests.test_autoreload.TestIterModulesAndFiles)',4,0,22.769,none,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-11583,1,part2_repro_20260222_055402,2026-02-22T06:09:21.433027
django__django-11564,django/django,580e644f24f1c5ae5b94784fb73a9953a178fd26,,python3 -m pytest -q 'test_add_script_name_prefix (settings_tests.tests.MediaURLStaticURLPrefixTest)' 'test_not_prefixed (settings_tests.tests.MediaURLStaticURLPrefixTest)',,0,0.0,no_patch,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-11564,0,part2_repro_20260222_055402,2026-02-22T06:09:21.433378
django__django-11422,django/django,df46b329e0900e9e4dc1d60816c1dce6dfc1094e,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-11422/patch.diff,python3 -m pytest -q 'test_main_module_is_resolved (utils_tests.test_autoreload.TestIterModulesAndFiles)',4,0,20.803,none,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-11422,1,part2_repro_20260222_055402,2026-02-22T06:09:21.433736
django__django-11283,django/django,08a4ee06510ae45562c228eefbdcaac84bd38c7a,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-11283/patch.diff,python3 -m pytest -q 'test_migrate_with_existing_target_permission (auth_tests.test_migrations.ProxyModelWithSameAppLabelTests)',4,0,19.779,none,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-11283,1,part2_repro_20260222_055402,2026-02-22T06:09:21.434055
django__django-11179,django/django,19fc6376ce67d01ca37a91ef2f55ef769f50513a,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-11179/patch.diff,python3 -m pytest -q 'test_fast_delete_instance_set_pk_none (delete.tests.FastDeleteTests)',4,0,21.828,none,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-11179,1,part2_repro_20260222_055402,2026-02-22T06:09:21.434387
django__django-11133,django/django,879cc3da6249e920b8d54518a0ae06de835d7373,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-11133/patch.diff,python3 -m pytest -q 'test_memoryview_content (httpwrappers.tests.HttpResponseTests)',4,0,21.695,none,/Users/mayank/Desktop/neu-self-improve-ai/Week_03/swebench_proposed/runs/part2_repro_20260222_055402/django__django-11133,1,part2_repro_20260222_055402,2026-02-22T06:09:21.434731
